역번호,주소,한 글,한 자,로 마 자,위도,경도
101,대전광역시 동구 옥천로 지하162 (판암동),판암(대전대),板岩(大田大),Panam(Daejeon Univ.),36.3156701,127.4655267
102,대전광역시 동구 옥천로 지하 70 (판암동),신 흥,新興,Sinheung,36.3102688,127.4678887
103,대전광역시 동구 계족로 지하 176 (대동),대동(우송대),大洞(又松大),Dae-dong(Woosong Univ.),36.3290679,127.4451072
104,대전광역시 동구 중앙로 지하 218 (중동),대 전,大田,Daejeon,36.3317945,127.4345659
105,대전광역시 중구 중앙로 지하 145 (은행동),중앙로,中央路,Jungangno,36.3277602,127.4272653
106,대전광역시 중구 중앙로 지하 71 (선화동),중구청,中區廳,Jung-gu Office,36.324831,127.419627
107,대전광역시 중구 계룡로 지하 889 (용두동),서대전네거리,西大田네거리,Seodaejeonnegeori,36.330677,127.402746
108,대전광역시 중구 계룡로 지하 793 (오류동),오 룡,五龍,Oryong,36.3251991,127.4052143
109,대전광역시 서구 계룡로 지하 644 (용문동),용 문,龍汶,Yongmun,36.3379365,127.3950181
110,대전광역시 서구 문정로48번길 지하 19 (탄방동),탄 방,炭坊,Tanbang,36.3449499,127.3842533
111,대전광역시 서구 둔산중로 지하 55 (둔산동),시 청,市廳,City Hall,36.3527442,127.3866967
112,대전광역시 서구 한밭대로 지하 744 (둔산동),정부청사,政府廳舍,Government Complex Daejeon,36.3572843,127.3813166
113,대전광역시 서구 한밭대로 지하 666 (갈마동),갈 마,葛馬,Galma,36.3575777,127.3727416
114,대전광역시 서구 한밭대로 지하 595 (월평동),월 평(한국과학기술원),月坪(韓國科學技術院),Wolpyeong(KAIST),36.3582709,127.364352
115,대전광역시 서구 갑천도시고속도로 지하1833 (월평동) ,갑 천,甲川,Gapcheon,36.354813,127.3543327
116,대전광역시 유성구 계룡로 지하 97 (봉명동),"유성온천(충남대,목원대)","儒城溫泉(忠南大,牧園大)","Yuseong Spa(Chungnam Nat'l Univ., Mokwon Univ.)",36.3537,127.341561
117,대전광역시 유성구 유성대로 703 (구암동),구 암,九岩,Guam,36.35668,127.330557
118,대전광역시 유성구 현충원로 지하 455 (구암동),현충원(한밭대),顯忠院(한밭대),National Cemetery(Hanbat Nat'l Univ.),36.359035,127.321459
119,대전광역시 유성구 한밭대로 지하 155 (노은동),월드컵경기장(노은도매시장),월드컵競技場(老隱都賣市場),World Cup Stadium(Noeun Wholesale Market),36.366866,127.317839
120,대전광역시 유성구 노은로 지하 161 (지족동),노 은,老隱,Noeun,36.37415,127.317835
121,대전광역시 유성구 노은로 273 (지족동),지족(침신대),智足(浸神大),Jijok(Chimsin Univ.),36.384106,127.319501
122,대전광역시 유성구 북유성대로 지하 303 (반석동),반 석(칠성대),盤石(七星臺),Banseok(Chilsungdae),36.392124,127.31462